location_name,nutrient,vehicle,coverage_level,measure,value,lower,upper
Nigeria,Folic acid,Wheat flour,0.5,counts_averted,109654.34400060277,52077.39352457648,211881.0172567412
Nigeria,Folic acid,Wheat flour,0.8,counts_averted,175446.95040096444,83323.82963932236,339009.6276107859
Nigeria,Folic acid,Wheat flour,0.8,rates_averted,523.3841833354301,248.5672987104682,1011.3158232982547
Nigeria,Folic acid,Wheat flour,0.2,rates_averted,130.8460458338575,62.14182467761708,252.82895582456374
Nigeria,Folic acid,Wheat flour,0.5,rates_averted,327.1151145846437,155.35456169404264,632.0723895614093
Nigeria,Folic acid,Wheat flour,0.2,pif,3.0442261066617986,2.1585499043894703,4.028910217928996
Nigeria,Folic acid,Wheat flour,0.5,pif,7.610565266654496,5.396374760973677,10.072275544822492
Nigeria,Folic acid,Wheat flour,0.8,pif,12.176904426647194,8.634199617557881,16.115640871715982
Nigeria,Iron,Wheat flour,0.5,counts_averted,84351.69823003006,997.4290501179445,166684.20405046598
Nigeria,Iron,Wheat flour,0.2,counts_averted,34109.150965451794,399.008459985529,67834.7885938803
Nigeria,Iron,Wheat flour,0.8,counts_averted,133492.20248333,1595.7391206713096,261892.3407252068
Nigeria,Iron,Wheat flour,0.8,rates_averted,253.89561186864034,2.9840435779227126,502.2924411946512
Nigeria,Iron,Wheat flour,0.2,rates_averted,64.75409447414322,0.746136899028311,129.710159626622
Nigeria,Iron,Wheat flour,0.5,rates_averted,160.284129913752,1.8651847423938817,319.0954609944992
Nigeria,Iron,Wheat flour,0.2,pif,5.30541391605419,0.06422438029572473,11.637939059401386
Nigeria,Iron,Wheat flour,0.5,pif,13.118319253940273,0.1605460186940161,28.572455608420803
Nigeria,Iron,Wheat flour,0.8,pif,20.757530759411157,0.25684973869284744,44.89009192999578
Nigeria,Vitamin A,Oil,0.2,counts_averted,4619.691046864036,-422.59559033902957,12425.605131206421
Nigeria,Vitamin A,Oil,0.8,counts_averted,18478.764187456145,-1690.3823613561183,49702.42052482566
Nigeria,Vitamin A,Oil,0.5,counts_averted,11549.22761716009,-1056.4889758475745,31064.012828016046
Nigeria,Vitamin A,Oil,0.8,rates_averted,55.124884651437974,-5.042660415020382,148.26966622519873
Nigeria,Vitamin A,Oil,0.5,rates_averted,34.45305290714873,-3.15166275938774,92.66854139074923
Nigeria,Vitamin A,Oil,0.2,rates_averted,13.781221162859492,-1.2606651037550956,37.0674165562997
Nigeria,Vitamin A,Oil,0.2,pif,1.9877587878882095,-0.1131555526834608,3.358172681717716
Nigeria,Vitamin A,Oil,0.8,pif,7.951035151552838,-0.4526222107338432,13.432690726870865
Nigeria,Vitamin A,Oil,0.5,pif,4.969396969720523,-0.28288888170865206,8.395431704294289
Nigeria,Zinc,Wheat flour,0.2,counts_averted,1923.7176600012992,33.41135497906718,6324.294559677729
Nigeria,Zinc,Wheat flour,0.5,counts_averted,4809.294150003248,83.52838744766792,15810.736399194326
Nigeria,Zinc,Wheat flour,0.8,counts_averted,7694.870640005197,133.6454199162687,25297.178238710927
Nigeria,Zinc,Wheat flour,0.5,rates_averted,14.346835242030371,0.24917752488550948,47.165763436254004
Nigeria,Zinc,Wheat flour,0.8,rates_averted,22.95493638724859,0.39868403981681516,75.46522149800643
Nigeria,Zinc,Wheat flour,0.2,rates_averted,5.738734096812148,0.09967100995420379,18.8663053745016
Nigeria,Zinc,Wheat flour,0.2,pif,4.967244275062492,2.9838152626176826,6.560446110572933
Nigeria,Zinc,Wheat flour,0.8,pif,19.868977100249968,11.935261050470732,26.24178444229173
Nigeria,Zinc,Wheat flour,0.5,pif,12.41811068765623,7.459538156544207,16.40111527643233
Pakistan,Folic acid,Wheat flour,0.5,counts_averted,19698.81519408135,8743.623124204156,38122.8778145221
Pakistan,Folic acid,Wheat flour,0.2,counts_averted,7879.526077632539,3497.4492496816624,15249.15112580884
Pakistan,Folic acid,Wheat flour,0.8,counts_averted,31518.104310530158,13989.79699872665,60996.60450323536
Pakistan,Folic acid,Wheat flour,0.8,rates_averted,103.24839674899617,45.82839426925383,199.81536833697075
Pakistan,Folic acid,Wheat flour,0.5,rates_averted,64.53024796812258,28.64274641828364,124.88460521060675
Pakistan,Folic acid,Wheat flour,0.2,rates_averted,25.81209918724904,11.457098567313457,49.95384208424269
Pakistan,Folic acid,Wheat flour,0.8,pif,11.656397655642463,7.6998719486183385,16.232086262076763
Pakistan,Folic acid,Wheat flour,0.2,pif,2.914099413910616,1.9249679871545846,4.058021565519189
Pakistan,Folic acid,Wheat flour,0.5,pif,7.285248534776539,4.812419967886461,10.145053913797977
Pakistan,Iron,Wheat flour,0.5,counts_averted,64533.71476063994,604.180954515866,158169.99270675564
Pakistan,Iron,Wheat flour,0.8,counts_averted,102140.5089151007,966.6161637202184,248529.47490734447
Pakistan,Iron,Wheat flour,0.2,counts_averted,26092.816524023667,241.69072325059008,64613.90073510166
Pakistan,Iron,Wheat flour,0.8,rates_averted,188.60297887392252,1.7202755052659833,455.9791010733678
Pakistan,Iron,Wheat flour,0.2,rates_averted,48.16862237024054,0.4301349814262972,118.1417585800029
Pakistan,Iron,Wheat flour,0.5,rates_averted,119.14822640284997,1.0752548207954535,289.8266432535198
Pakistan,Iron,Wheat flour,0.8,pif,13.944036904835306,0.12702840183852318,34.78214935994042
Pakistan,Iron,Wheat flour,0.2,pif,3.5627236374334172,0.03176223127448335,9.090697191131348
Pakistan,Iron,Wheat flour,0.5,pif,8.810820688911852,0.07939916465678709,22.29903630410483
Pakistan,Vitamin A,Oil,0.5,counts_averted,5059.533790736638,-686.9351855418039,14201.986140844421
Pakistan,Vitamin A,Oil,0.8,counts_averted,8095.25406517862,-1099.0962968668862,22723.177825351075
Pakistan,Vitamin A,Oil,0.2,counts_averted,2023.813516294655,-274.77407421672154,5680.794456337769
Pakistan,Vitamin A,Oil,0.2,rates_averted,6.629697611812262,-0.9001170359597993,18.609397129303233
Pakistan,Vitamin A,Oil,0.5,rates_averted,16.574244029530657,-2.250292589899499,46.52349282325808
